## sphere datafile 
# number of spheres
19
# a real(ns) imag(ns) xs ys zs bsn bdv l_limit
0.125 1.600 0.0 +0.0 +0.0 0.0 32 4 40
0.125 1.600 0.0 +2.0 +0.0 0.0 32 4 40
0.125 1.600 0.0 -2.0 +0.0 0.0 32 4 40
0.125 1.600 0.0 +1.0 +1.732050807568877 0.0 32 4 40
0.125 1.600 0.0 -1.0 +1.732050807568877 0.0 32 4 40
0.125 1.600 0.0 +1.0 -1.732050807568877 0.0 32 4 40
0.125 1.600 0.0 -1.0 -1.732050807568877 0.0 32 4 40
0.125 1.600 0.0 +4.0 +0.0 0.0 32 4 40
0.125 1.600 0.0 -4.0 +0.0 0.0 32 4 40
0.125 1.600 0.0 +3.0 +1.732050807568877 0.0 32 4 40
0.125 1.600 0.0 -3.0 +1.732050807568877 0.0 32 4 40
0.125 1.600 0.0 +3.0 -1.732050807568877 0.0 32 4 40
0.125 1.600 0.0 -3.0 -1.732050807568877 0.0 32 4 40
0.125 1.600 0.0 +0.0 +3.464101615137755 0.0 32 4 40
0.125 1.600 0.0 +2.0 +3.464101615137755 0.0 32 4 40
0.125 1.600 0.0 -2.0 +3.464101615137755 0.0 32 4 40
0.125 1.600 0.0 +0.0 -3.464101615137755 0.0 32 4 40
0.125 1.600 0.0 +2.0 -3.464101615137755 0.0 32 4 40
0.125 1.600 0.0 -2.0 -3.464101615137755 0.0 32 4 40
